"name","code","description"
"Bar","B","A bar is a retail business establishment that serves alcoholic beverages, such as beer, wine, liquor, cocktails, and other beverages such as mineral water and soft drinks."
"Nightclub","N","A nightclub, music club or club, is an entertainment venue and bar that usually operates late into the night. A nightclub is generally distinguished from regular bars, pubs or taverns by the inclusion of a stage for live music, one or more dance floor areas and a DJ booth, where a DJ plays recorded music."
"Outdoors","O","A place or location away from the confines of a building"
"Mobile","M","A location moving in space"
