"code","version","country","freedom_rank","name","link"
"CC BY-NC-ND","3.0","de","1000","Creative Commons - Attribution NonCommercial NoDerivatives","https://creativecommons.org/licenses/by-nc-nd/3.0/de/"
"CC BY-NC-SA","3.0","de","1100","Creative Commons - Attribution NonCommercial ShareAlike","https://creativecommons.org/licenses/by-nc-sa/3.0/de/"
"CC BY-NC","3.0","de","1200","Creative Commons - Attribution NonCommercial","https://creativecommons.org/licenses/by-nc/3.0/de/"
"CC BY-ND","3.0","de","1300","Creative Commons - Attribution NoDerivatives","https://creativecommons.org/licenses/by-nd/3.0/de/"
"CC BY-SA","3.0","de","1400","Creative Commons - Attribution ShareAlike","https://creativecommons.org/licenses/by-sa/3.0/de/"
"CC BY","3.0","de","1600","Creative Commons - Attribution","https://creativecommons.org/licenses/by/3.0/de/"
